"","turtle.id","date","field","field.type","group","year","mean.duration","freq","geography"
"1","L153","2017-12-09","Mexico","magnetic field
with food","purple","2017",58.7055,0.04892125,"southern"
"2","L153","2017-12-13","New Hampshire, USA","magnetic field
without food","purple","2017",10.2716666666667,0.00855972222222222,"southern"
"3","L154","2017-12-09","New Hampshire, USA","magnetic field
without food","purple","2017",9.00799999999981,0.00750666666666651,"southern"
"4","L154","2017-12-13","Mexico","magnetic field
with food","purple","2017",35.283,0.0294025,"southern"
"5","L155","2017-12-10","New Hampshire, USA","magnetic field
with food","red","2017",72.6265,0.0605220833333333,"northern"
"6","L155","2017-12-12","Mexico","magnetic field
without food","red","2017",38.885,0.0324041666666667,"northern"
"7","L156","2017-12-09","Mexico","magnetic field
with food","purple","2017",151.763,0.126469166666667,"southern"
"8","L156","2017-12-13","New Hampshire, USA","magnetic field
without food","purple","2017",29.8226666666667,0.0248522222222222,"southern"
"9","L157","2017-12-10","Mexico","magnetic field
without food","red","2017",20.415,0.0170125,"northern"
"10","L157","2017-12-12","New Hampshire, USA","magnetic field
with food","red","2017",22.5260000000001,0.0187716666666667,"northern"
"11","L158","2017-12-10","New Hampshire, USA","magnetic field
with food","red","2017",58.911,0.0490925,"northern"
"12","L158","2017-12-12","Mexico","magnetic field
without food","red","2017",12.1143333333333,0.0100952777777778,"northern"
"13","L159","2017-12-09","New Hampshire, USA","magnetic field
without food","purple","2017",2.40400000000003,0.00200333333333336,"southern"
"14","L159","2017-12-13","Mexico","magnetic field
with food","purple","2017",41.2399999999999,0.0343666666666666,"southern"
"15","L160","2017-12-10","Mexico","magnetic field
without food","red","2017",16.66875,0.013890625,"northern"
"16","L160","2017-12-12","New Hampshire, USA","magnetic field
with food","red","2017",55.4810000000001,0.0462341666666667,"northern"
"17","L161","2017-12-09","Mexico","magnetic field
with food","purple","2017",52.4934999999999,0.0437445833333332,"southern"
"18","L161","2017-12-11","New Hampshire, USA","magnetic field
without food","purple","2017",16.1114999999999,0.01342625,"southern"
"19","L162","2017-12-09","New Hampshire, USA","magnetic field
without food","purple","2017",1.4015,0.00116791666666667,"southern"
"20","L162","2017-12-11","Mexico","magnetic field
with food","purple","2017",24.6526666666665,0.0205438888888888,"southern"
"21","L163","2017-12-10","New Hampshire, USA","magnetic field
with food","red","2017",63.06,0.05255,"northern"
"22","L163","2017-12-12","Mexico","magnetic field
without food","red","2017",91.0029999999999,0.0758358333333333,"northern"
"23","L164","2017-12-10","Mexico","magnetic field
without food","red","2017",3.756,0.00313,"northern"
"24","L164","2017-12-12","New Hampshire, USA","magnetic field
with food","red","2017",41.9925,0.03499375,"northern"
"25","L165","2017-12-09","Mexico","magnetic field
with food","purple","2017",20.0235,0.01668625,"southern"
"26","L165","2017-12-11","New Hampshire, USA","magnetic field
without food","purple","2017",0.132666666666637,0.000110555555555531,"southern"
"27","L166","2017-12-10","New Hampshire, USA","magnetic field
with food","red","2017",64.6145000000003,0.053845416666667,"northern"
"28","L166","2017-12-12","Mexico","magnetic field
without food","red","2017",6.20749999999987,0.00517291666666656,"northern"
"29","L167","2017-12-09","New Hampshire, USA","magnetic field
without food","purple","2017",66.2460000000001,0.0552050000000001,"southern"
"30","L167","2017-12-11","Mexico","magnetic field
with food","purple","2017",186.5855,0.155487916666667,"southern"
"31","L168","2017-12-10","Mexico","magnetic field
without food","red","2017",25.5760000000001,0.0213133333333335,"northern"
"32","L168","2017-12-12","New Hampshire, USA","magnetic field
with food","red","2017",49.2489999999999,0.0410408333333332,"northern"
"33","L169","11/28/2018","Cuba","magnetic field
with food","blue","2018",51.7935,0.04316125,"southern"
"34","L169","11/30/2018","Delaware, USA","magnetic field
without food","blue","2018",0.399,0.0003325,"southern"
"35","L170","11/29/2018","Delaware, USA","magnetic field
with food","orange","2018",17.8473333333333,0.0148727777777778,"mid"
"36","L170","12/1/2018","Cuba","magnetic field
without food","orange","2018",4.905,0.0040875,"mid"
"37","L171","11/30/2018","Cuba","magnetic field
with food","blue","2018",34.2815,0.0285679166666667,"southern"
"38","L171","12/2/2018","Delaware, USA","magnetic field
without food","blue","2018",18.8135,0.0156779166666667,"southern"
"39","L172","11/28/2018","Cuba","magnetic field
with food","blue","2018",56.907,0.0474225,"southern"
"40","L172","11/30/2018","Delaware, USA","magnetic field
without food","blue","2018",6.90733333333333,0.00575611111111111,"southern"
"41","L173","11/29/2018","Cuba","magnetic field
without food","orange","2018",9.86,0.00821666666666667,"mid"
"42","L173","12/1/2018","Delaware, USA","magnetic field
with food","orange","2018",493.934,0.411611666666667,"mid"
"43","L174","11/29/2018","Delaware, USA","magnetic field
with food","orange","2018",42.5425,0.0354520833333333,"mid"
"44","L174","12/1/2018","Cuba","magnetic field
without food","orange","2018",26.3785,0.0219820833333333,"mid"
"45","L175","11/28/2018","Delaware, USA","magnetic field
without food","blue","2018",30.029,0.0250241666666667,"southern"
"46","L175","11/30/2018","Cuba","magnetic field
with food","blue","2018",34.8335,0.0290279166666667,"southern"
"47","L176","11/29/2018","Cuba","magnetic field
without food","orange","2018",26.6606666666667,0.0222172222222222,"mid"
"48","L176","12/1/2018","Delaware, USA","magnetic field
with food","orange","2018",22.516,0.0187633333333333,"mid"
"49","L177","11/29/2018","Delaware, USA","magnetic field
with food","orange","2018",138.492,0.11541,"mid"
"50","L177","12/1/2018","Cuba","magnetic field
without food","orange","2018",11.0625,0.00921875,"mid"
"51","L178","11/28/2018","Cuba","magnetic field
with food","blue","2018",127.027,0.105855833333333,"southern"
